id,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude,Subgroup,Family
0,South Italian,Italy,ITA,nap,Vulnerable,Neapolitan; Neapolitan-Calabrese; неаполитанский; неаполитанско-калабрийский,,7500000.0,40.9798,15.249,,
1,Sicilian,Italy,ITA,scn,Vulnerable,,,5000000.0,37.4399,14.5019,,
2,Low Saxon,"Germany, Denmark, Netherlands, Poland, Russian Federation","DEU, DNK, NLD, POL, RUS","act, drt, frs, gos, nds, sdz, stl, twd, vel, wep",Vulnerable,"Low German, Niedersächsisch, Nedersaksisch, Niederdeutsch, Plattdeutsch ",Neddersassisch,4800000.0,53.4029,10.3601,,
3,Belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","BRB, LVA, LTU, POL, RUS, UKR",bel,Vulnerable,,,4000000.0,53.956,27.5756,,
4,Lombard,"Italy, Switzerland","ITA, CHE",lmo,Definitely endangered,,,3500000.0,45.7215,9.3273,,
5,Romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","ALB, DEU, AUT, BRB, BIH, BGR, HRV, EST, FIN, FRA, GRC, HUN, ITA, LVA, LTU, MKD, NLD, POL, ROU, GBR, RUS, SVK, SVN, CHE, CZE, TUR, UKR, SRB, MNE","rmc, rmf, rml, rmn, rmo, rmw, rmy",Definitely endangered,"sinti, vlax,  calò",,3500000.0,46.3165,22.3681,,
6,Yiddish (Israel),Israel,ISR,ydd,Definitely endangered,Judeo-German,,3000000.0,32.0833,34.8333,,
7,Gondi,India,IND,gon,Vulnerable,"Gondi; Gaudi; Gondiva; Gondwadi; Goondile; Goudwal; Ghond; Godi; Gondu; Goudi
",,2713790.0,19.5804,80.4418,,
8,Limburgian-Ripuarian,"Germany, Belgium, Netherlands","DEU, BEL, NLD","ksh, lim",Vulnerable,Colognian (dialect; in German: Kölsch),,2600000.0,50.7781,6.0864,,
9,Quechua of Southern Bolivia,Bolivia (Plurinational State of),BOL,quh,Vulnerable,,,2300000.0,-18.0675,-65.7641,,
10,Kumaoni,"India, Nepal","IND, NPL",kfy,Vulnerable,Kumauni; Kamaoni; Kumau; Kumawani; Kumgoni,,2003783.0,29.4778,79.8486,,
11,Aymara,"Bolivia (Plurinational State of), Chile, Peru","BOL, CHL, PER","ayc, ayr",Vulnerable,"Aimara, Jaqi Aru, Southern Aymara.",,2000000.0,-16.5835,-68.30199999999999,,
12,Emilian-Romagnol,"Italy, San Marino","ITA, SMR",eml,Definitely endangered,,,2000000.0,44.126999999999995,12.0739,,
13,Piedmontese,Italy,ITA,pms,Definitely endangered,,,2000000.0,45.2013,7.8662,,
14,Venetan,"Croatia, Italy, Slovenia","HRV, ITA, SVN",vec,Vulnerable,,,2000000.0,45.4601,12.1948,,
15,Zazaki,Turkey,TUR,zza,Vulnerable,Zaza; Dimli; Kirmanjki,,2000000.0,38.8824,40.4846,,
16,Kurux (India),India,IND,kru,Vulnerable,Kurukh; Oraon,,1751489.0,22.1467,85.2758,,
17,Tamajeq,Niger,NER,thz,Vulnerable,,,1750000.0,17.2352,8.0859,,
18,Tulu,India,IND,tcy,Vulnerable,"Tuluva Bhasa; Tullu; Thulu; Tal; Tilu; Thalu
",,1722768.0,12.0178,75.7067,,
19,Kangdi,India,IND,xnr,Definitely endangered,Dogaryali; Dogri Pahari;  Tokkaru; Dogri-Kangra; Bhatbali; Bhatbali; East Dogri; Kangri; Kangra,,1700000.0,32.4356,76.1242,,
20,Scots,United Kingdom of Great Britain and Northern Ireland,GBR,sco,Vulnerable,Lallans; Northumbrian (local name in England),,1500000.0,56.2189,-3.7683,,
21,Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","ALB, BGR, MKD, ROU, SRB","bos, hrv, srp",Vulnerable,"Shop; dialects: Goran, Janjev, Krashovan",,1500000.0,42.9644,22.1374,,
22,West Flemish,"Belgium, France, Netherlands","BEL, FRA, NLD","vls, zea",Vulnerable,Western Flemish; Zeelandic (Zeêuws),,1500000.0,51.0275,3.0541,,
23,Bashkir,Russian Federation,RUS,bak,Vulnerable,Bashkort,,1379727.0,54.7309,55.9863,,
24,Chechen,Russian Federation,RUS,che,Vulnerable,,,1331844.0,43.1971,45.7031,,
25,Chuvash,Russian Federation,RUS,chv,Vulnerable,,,1325382.0,56.1394,47.2412,,
26,Meithei,India,IND,mni,Vulnerable,"Manipuri, Meitei",,1250000.0,24.7667,93.8946,,
27,Tamang,"India, Nepal","IND, NPL","taj, tge, tmk, tsf, tdg",Vulnerable,तामाङ; तामाङ्ग; Murmi (obsolete),,1196639.0,27.7365,85.6858,,
28,Quechua of Cuzco,Peru,PER,quz,Vulnerable,Quechua Cuzco-Collao,,1115000.0,-13.4537,-72.0098,,
29,Eastern Slovak,"Slovakia, Ukraine","SVK, UKR",slk,Vulnerable,,,1000000.0,48.8068,21.7968,,
30,Ligurian,"France, Italy, Monaco","FRA, ITA, MCO",lij,Definitely endangered,Monégasque (dialect),,1000000.0,44.5748,8.7011,,
31,Rusyn,"Hungary, Poland, Romania, Slovakia, Ukraine","HUN, POL, ROU, SVK, UKR",rue,Vulnerable,"Ruthenian, Carpatho-Rusyn. Dialects: Lemko (Lemke), Boyko, Hutzulian",,1000000.0,48.4437,22.9394,,
32,Talysh,"Azerbaijan, Iran (Islamic Republic of)","AZE, IRN",tly,Vulnerable,,,1000000.0,38.814,48.6804,,
33,Kui,India,IND,kxu,Vulnerable,"Kuy; Kandh; Khondi; Khond(o); Kodu; Kanda; Kodulu
",,916222.0,19.5908,83.9575,,
34,Khasi,India,IND,kha,Vulnerable,,,912000.0,25.691,91.8676,,
35,Bodo,India,IND,brx,Vulnerable,"Boro, Kachari",,900000.0,26.7554,92.8674,,
36,Campidanese,Italy,ITA,sro,Definitely endangered,Campidanese Sardinian,,900000.0,39.2991,8.9868,,
37,K'iche' (Guatemala),Guatemala,GTM,quc,Vulnerable,"Chiquel, Cachbel, Chuil quiché, cunenteco, Cantel Quiché, Quiché",,890596.0,15.0309,-91.1485,,
38,Quechua of Ayacucho,Peru,PER,quy,Definitely endangered,Quechua Ayacucho-Chanka. Chanka (Quechua).,,850000.0,-13.1276,-74.2071,,
39,Newar,Nepal,NPL,new,Definitely endangered,नेवार; Nepal Bhasa; Newari,,825458.0,27.6981,85.3198,,
40,Mon,"Myanmar, Thailand","MMR, THA",mnw,Vulnerable,Talaing,,800000.0,16.4666,97.7833,,
41,Tamaceq,Mali,MLI,taq,Definitely endangered,"Tamacheq, Tamasheq",,800000.0,16.7992,-3.0102,,
42,Avar,Russian Federation,RUS,ava,Vulnerable,,,784840.0,42.4801,46.8017,,
43,Mundari,India,IND,muw,Vulnerable,Horo,,750000.0,22.3297,86.0449,,
44,Welsh,United Kingdom of Great Britain and Northern Ireland,GBR,cym,Vulnerable,y Gymraeg,Cymraeg,750000.0,52.4459,-3.5485,,
45,Angika,"India, Nepal","IND, NPL",anp,Vulnerable,Chhika-Chhiki; Anga; Aangi; Bhagalpuri,,740892.0,24.7451,85.3124,,
46,Q'eqchi' (Guatemala),Guatemala,GTM,kek,Vulnerable,"K'eqchí, Ketchí, Cacché, Quecchí",,716101.0,15.4707,-90.3722,,
47,Picard,"Belgium, France","BEL, FRA",pcd,Severely endangered,"ch’ti, ch’timi, rouchi",,700000.0,50.2331,2.7905,,
48,Kokborok,"Bangladesh, India","BGD, IND",trp,Vulnerable,Tripuri,,695000.0,23.7752,91.6918,,
49,Basque,"Spain, France","ESP, FRA",eus,Vulnerable,,euskara,660000.0,43.133,-2.0764,,
50,Kabard-Cherkes,"Russian Federation, Turkey","RUS, TUR",kbd,Vulnerable,Kabardian,,650000.0,43.7393,43.4289,,
51,Mandeali,India,IND,mjl,Definitely endangered,Mandi; Mandiali; Pahari Mandiyali,,611930.0,31.4099,76.9921,,
52,Friulian,Italy,ITA,fur,Definitely endangered,,,600000.0,46.1037,13.1396,,
53,Quechua of Ancash and Huánuco,Peru,PER,"qec, qed, qee, qan, qei, qub, qej, qel, qem",Definitely endangered,"Quechua, Nunashimi. Quechua Ancash-Huánuco. Huaylas Quechua.",,600000.0,-9.4598,-77.1789,,
54,Walloon,"Belgium, France, Luxembourg","BEL, FRA, LUX",wln,Definitely endangered,,,600000.0,50.4575,4.8559,,
55,Mising,India,IND,mrg,Definitely endangered,"Miri, Mishing, Miri-Mishing",,550000.0,26.9612,94.0539,,
56,Ossete,"Georgia, Russian Federation","GEO, RUS",oss,Vulnerable,Ossetic,,550000.0,42.9564,44.4946,,
57,Mizo,India,IND,lus,Vulnerable,Lushai,,529000.0,22.9988,92.9223,,
58,Dargwa,Russian Federation,RUS,dar,Vulnerable,,,503523.0,42.1145,47.4938,,
59,Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","ALB, BGR, GRC, MKD, SRB",rup,Definitely endangered,Macedo-Romanian; Vlach; Tsintsar,,500000.0,40.2292,21.1376,,
60,Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan","IRN, PAK, AFG",brh,Vulnerable,,,500000.0,29.0369,66.5826,,
61,Languedocian,France,FRA,oci,Severely endangered,occitan languedocien; langadocian,lengadocian,500000.0,43.8899,2.5378,,
62,Lezgian,"Azerbaijan, Russian Federation","AZE, RUS",lez,Vulnerable,,,500000.0,41.4921,48.0541,,
63,Mahasui,India,IND,bfz,Definitely endangered,Kiunthali; Kiuntali,,496024.0,31.2738,77.1295,,
64,Magar,Nepal,NPL,"mgp, mrd",Definitely endangered,मगर; Manggar; Magari,,489383.0,28.0816,83.4301,,
65,Udmurt,Russian Federation,RUS,udm,Definitely endangered,,,463837.0,57.2315,52.8662,,
66,Huasteca Náhuatl,Mexico,MEX,nhe,Vulnerable,Mexicano,,463183.0,21.3835,-98.9902,,
67,Kumyk,Russian Federation,RUS,kum,Vulnerable,,,458121.0,43.397,46.9775,,
68,Yakut,Russian Federation,RUS,sah,Vulnerable,Sakha,,456288.0,62.3496,130.8691,,
69,Karbi,India,IND,mjw,Vulnerable,Mikir,,420000.0,26.2934,93.2299,,
70,Eastern Mari,Russian Federation,RUS,mhr,Definitely endangered,Meadow Mari,,414211.0,56.632,47.8784,,
71,Ingush,Russian Federation,RUS,inh,Vulnerable,,,405343.0,43.145,45.1043,,
72,Erzya,Russian Federation,RUS,myv,Definitely endangered,,,400000.0,54.1302,45.4394,,
73,Ho,India,IND,hoc,Vulnerable,Kol,,400000.0,21.636999999999997,86.4404,,
74,Judezmo (Israel),Israel,ISR,lad,Severely endangered,Ladino; Judeo-Spanish; Sephardic,,400000.0,32.0872,34.7737,,
75,Lalo,China,CHN,"yik, ywt, yit, ywl",Vulnerable,,,400000.0,25.383000000000003,99.9426,,
76,Limousin,France,FRA,oci,Severely endangered,occitan limousin,lemosin,400000.0,46.0579,1.8017,,
77,Logudorese,Italy,ITA,src,Definitely endangered,Logudorese Sardinian; Logudorese-Nuorese,,400000.0,40.1116,9.1845,,
78,Mapuche (Chile),Chile,CHL,arn,Definitely endangered,Mapudungun. Araucanian.,,400000.0,-38.5653,-73.081,,
79,Central Náhuatl,Mexico,MEX,"nhn, nch, ncx",Vulnerable,"Mexicano, Aztec (in English only)",,395581.0,19.191,-99.0236,,
80,Moselle Franconian,"Germany, Belgium, France, Luxembourg","DEU, BEL, FRA, LUX",ltz,Vulnerable,Luxembourgish; Luxemburgian; luxembourgeois; люксембургский,Lëtzebuergesch,390000.0,49.6071,6.1248,,
81,Bantawa,Nepal,NPL,bap,Vulnerable,बान्तवा; बान्टावा; बन्टावा; Bantaba; Bontawa,,371056.0,27.0994,87.0048,,
82,Santa,China,CHN,sce,Vulnerable,Dongxiang,,360000.0,35.5411,102.7935,,
83,Mingrelian,Georgia,GEO,xmf,Definitely endangered,Megrel,,350000.0,42.4599,41.7205,,
84,West Frisian,Netherlands,NLD,fry,Vulnerable,,,350000.0,53.1006,5.6579,,
85,Gurung,Nepal,NPL,"ggn, gvr",Definitely endangered,गुरुङ; गुरुङ्ग; Tamu,,338925.0,28.275,84.1782,,
86,Guajiro,"Colombia, Venezuela (Bolivarian Republic of)","COL, VEN",guc,Vulnerable,Wayuu (people). Wayuunaiki (language).,,318500.0,11.8673,-71.9824,,
87,Karachay-Balkar,Russian Federation,RUS,krc,Vulnerable,,,302748.0,44.2137,42.8466,,
88,Adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey","IRQ, ISR, JOR, MKD, RUS, SYR, TUR",ady,Vulnerable,Adyghe; Western Circassian,,300000.0,44.9181,39.7485,,
89,Buryat (Trans-Baikal),Russian Federation,RUS,"bxm, bxr, bxu",Definitely endangered,,,300000.0,50.8336,109.5117,,
90,Kurru,India,IND,yeu,Definitely endangered,"Yerulula; Yerukala;  Yerkula; Kurru Bhasha;  Yerukla; Erukla; Kurutha
",,300000.0,16.6151,81.6284,,
91,Kuvi,India,IND,kxv,Definitely endangered,"Kuwi; Kuvinga; Kond; Kuvi-Kond; Khondi; Khondh; Jatapu 
",,300000.0,18.9478,83.5839,,
92,Limbu,"India, Nepal","IND, NPL",lif,Definitely endangered,लिम्बू; Yakthungba,,300000.0,27.096,87.7356,,
93,Moroccan Judeo-Arabic (Israel),Israel,ISR,aju,Definitely endangered,Judeo-Moroccan,,300000.0,32.0476,34.7552,,
94,Plautdietsch,Ukraine,UKR,pdt,Definitely endangered,,,300000.0,47.0738,35.5545,,
95,Pontic Greek,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine","ARM, GEO, GRC, RUS, TUR, UKR",pnt,Definitely endangered,,,300000.0,40.847,40.0149,,
96,"Quichua (Cotopaxi, Tungurahua and Chimborazo)",Ecuador,ECU,"qxr, qug, qvi, qvj, qvo, qvz, qxl",Definitely endangered,"Kichwa, Runashimi, Runa simi (Quichua, Chimborazo Highland, Ethnologue),   Central Highlands Quichua, Quechua",,300000.0,-1.8673,-78.9257,,
97,Waxiang,China,CHN,wxa,Vulnerable,Waxianghua,,300000.0,28.5652,110.3576,,
98,Oyrat,"China, Kyrgyzstan, Mongolia","CHN, KGZ, MNG",xal,Definitely endangered,Oirat,,280000.0,46.195,88.7255,,
99,Garhwali,India,IND,gbm,Vulnerable,Gadhavali; Gadhawala; Gadwahi; Gashwali; Godauli; Gorwali; Gurvali; Girwali,,279500.0,30.0976,79.1235,,
100,Bade,Nigeria,NGA,bde,Vulnerable,,,250000.0,12.800999999999998,11.1181,,
101,Breton,France,FRA,bre,Severely endangered,brezhoneg,,250000.0,48.2246,-3.9331,,
102,Gascon,"Spain, France","ESP, FRA",oci,Definitely endangered,occitan gascon; local name in Catalonia: Aranese; dialect: béarnais,gascon,250000.0,43.1811,-0.1428,,
103,Phula (China),China,CHN,"ypa, ypg, ypo, yip, ypn, yhl, ypb, phh, ypm, ypp, yph, ypz",Vulnerable,"Phala, Phola, Pholo, Phowa, Phukha, Phupha, Phuza",,250000.0,22.6001,104.0004,,
104,Sora,India,IND,srb,Vulnerable,"Saora, Savara",,250000.0,19.1244,83.2104,,
105,Konyak,India,IND,nbe,Vulnerable,,,248000.0,26.9367,95.1745,,
106,Ao,India,IND,ngo,Vulnerable,,,243000.0,26.4361,94.6472,,
107,Tuvan,"China, Mongolia, Russian Federation","CHN, MNG, RUS",tyv,Vulnerable,,,242754.0,51.7134,94.3945,,
108,Nafusi,Libyan Arab Jamahiriya,LBY,jbn,Severely endangered,"Nefusi, Tamazight of Jabal Nafusi, Jebel Nefusi, Jbel Nafusi, Adrar Nufusi",,240000.0,32.6393,13.4252,,
109,Suret,"Armenia, Iran (Islamic Republic of), Iraq, Syrian Arab Republic, Turkey","ARM, IRN, IRQ, SYR, TUR","aii, cld",Definitely endangered,"Suryaya Swadaya, Lishana Aturaya, Lishana Kaldaya, Suryani, Assyrian Neo-Aramaic, Chaldean Neo-Aramaic, Neo-Syriac, Christian Northeastern Neo-Aramaic",,240000.0,36.4477,43.2971,,
110,Malto,India,IND,kmj,Definitely endangered,Pahariya; Kumarbhag Pahariya; Malti; Maltu; Maler; Mal; Mad,,224926.0,23.7853,85.4736,,
111,Khowar,Pakistan,PAK,khw,Vulnerable,"Khawar, Chitrali, Citrali, Chitrari, Arniya, Patu, Qashqari, Kashkari",,222800.0,35.8667,71.7956,,
112,Maiya,Pakistan,PAK,mvy,Vulnerable,Maiyā; Indus Kohistani,,220000.0,35.3151,72.908,,
113,Komi,Russian Federation,RUS,kpv,Definitely endangered,“Komi-Zyryan” (calque from Russian); коми-зырянский,,217316.0,62.3087,51.5917,,
114,Alpine Provençal,"France, Italy","FRA, ITA",oci,Definitely endangered,occitan alpin (fr); vivaro-alpin (fr); gavot (fr),provençau aupenc,200000.0,44.7467,6.6796,,
115,Gallo,France,FRA,fra,Severely endangered,angevin (dialect),galo,200000.0,47.931000000000004,-2.0544,,
116,Gera,Nigeria,NGA,gew,Vulnerable,,,200000.0,10.5553,10.0579,,
117,Irula,India,IND,iru,Vulnerable,Eravallan; Erukala; Irava; Irulan; Irular; Irular Mozhi; Irulavan; Iruliga; Iruligar; Kad Chensu; Korava,,200000.0,11.4369,76.5032,,
118,Kharia,India,IND,khr,Vulnerable,"Khadia, Karvi",,200000.0,21.8003,85.4956,,
119,Khorasani Turk,Iran (Islamic Republic of),IRN,kmz,Vulnerable,Quchani,,200000.0,36.6596,57.854,,
120,Korku,India,IND,kfq,Vulnerable,,,200000.0,20.3034,80.2441,,
121,Moksha,Russian Federation,RUS,mdf,Definitely endangered,,,200000.0,54.1817,43.2751,,
122,Western Armenian (Middle East),"Iraq, Lebanon, Syrian Arab Republic","IRQ, LBN, SYR",hye,Definitely endangered,Arevmdahayeren,արևմտահայ,200000.0,33.884,35.5133,,
123,Western Cham,Cambodia,KHM,cja,Vulnerable,,,200000.0,12.0333,105.4333,,
124,Tshangla,"Bhutan, China, India","BTN, CHN, IND",tsj,Vulnerable,Shâchop; Sharchop; Tsangla; Sangla; Menba; Monpa,,193000.0,27.1275,91.9335,,
125,Thado,India,IND,tcz,Vulnerable," Thadou, Kuki, Kuki- Thado",,191000.0,24.4521,93.2354,,
126,Gagauz (Bessarabia),"Republic of Moldova, Ukraine","MDA, UKR","bgx, gag",Definitely endangered,,,180000.0,46.0922,28.7951,,
127,Kului,India,IND,kfx,Definitely endangered,Kulvi; Kulwali; Kauli; Kullui; Kulu Boli; Kulu Pahari; Seraji,,170770.0,31.4403,77.1487,,
128,Adi,"China, India","CHN, IND",adi,Vulnerable,Abor,,170000.0,28.3527,95.2294,,
129,Lhota,India,IND,njh,Vulnerable,,,170000.0,26.1603,94.3725,,
130,Nyishi,India,IND,dap,Vulnerable,"Nishi, Nisi, Nising, Daphla, Dafla,",,170000.0,27.5277,93.0981,,
131,Ngäbere (Panama),Panama,PAN,gym,Vulnerable,"Ngäbere, Guaymí",,169130.0,9.3395,-82.2428,,
132,Kodagu,India,IND,kfa,Definitely endangered,"Coorgi
",,166187.0,11.6952,75.9375,,
133,Corsican,"France, Italy","FRA, ITA",cos,Definitely endangered,,,160000.0,42.0819,9.0307,,
134,Dzongkha,Bhutan,BTN,dzo,Vulnerable,Drukke; Drukha; Drukpa; Bhutanese; Jonkha; Zongkhar; Lunakha (dialect); Lâyakha (dialect),,160000.0,27.44,89.6731,,
135,Kalmyk,Russian Federation,RUS,xal,Definitely endangered,Kalmuck,,153602.0,46.2026,45.8239,,
136,Lak,Russian Federation,RUS,lbe,Vulnerable,,,153373.0,42.0125,47.2521,,
137,Asturian-Leonese,"Spain, Portugal","ESP, PRT","ast, ext, mwl",Definitely endangered,Bable; Mirandese (local name in Portugal); Extremaduran (dialect); Cantabrian (dialect),astur-leonés,150000.0,42.7954,-5.6689,,
138,Latgalian,"Latvia, Russian Federation","LVA, RUS",lav,Vulnerable,,,150000.0,56.1822,27.1362,,
139,Provençal,France,FRA,oci,Severely endangered,occitan provençal,provençau,150000.0,43.5485,6.1083,,
140,Rabha,India,IND,rah,Vulnerable,Rava,,150000.0,25.9284,90.9777,,
141,Tamzabit,Algeria,DZA,mzb,Vulnerable,"Tumzabt, Tamzabt, Mozabite",,150000.0,32.4816,3.6694,,
142,Sherpa,"China, India, Nepal","CHN, IND, NPL",xsr,Vulnerable,शेर्पा,,143693.0,27.739,86.839,,
143,Tangkhul,India,IND,nmf,Vulnerable,,,142000.0,25.0358,94.4824,,
144,Badaga,India,IND,bfq,Definitely endangered,Badag; Badagu; Badugu; Baduga; Vadagu,,134514.0,11.3642,76.5266,,
145,Angami,India,IND,njm,Vulnerable,,,132000.0,25.7553,94.1308,,
146,Laz,"Georgia, Turkey","GEO, TUR",lzz,Definitely endangered,Chan,,130000.0,41.2736,41.2646,,
147,Tabasaran,Russian Federation,RUS,tab,Vulnerable,,,128391.0,41.8081,47.9882,,
148,Chambeali,India,IND,cdh,Definitely endangered,Chamaya; Chambiali; Chamiyali; Chambiyali; Chameali,,126589.0,32.9072,76.5307,,
149,Abkhaz,"Georgia, Russian Federation, Turkey","GEO, RUS, TUR",abk,Vulnerable,,,125000.0,43.133,40.8471,,
150,Phom,India,IND,nph,Vulnerable,,,123000.0,26.7799,94.9493,,
151,Kolami,India,IND,kfb,Definitely endangered,Kulume; Kolamboli; Kolam; Kolmi; Kolamy,,121855.0,20.5093,78.1787,,
152,Navajo,United States of America,USA,nav,Vulnerable,"Navajo, Diné",,120000.0,35.8044,-108.475,,
153,Sassarese,Italy,ITA,sdc,Definitely endangered,Sassarese Sardinian,,120000.0,40.6139,8.6132,,
154,Tamahaq (Algeria),Algeria,DZA,thv,Vulnerable,"Tahaggart, Tamachek, Touareg, Tuareg, Toureg",,120000.0,22.8369,5.5371,,
155,Konda,India,IND,kfc,Definitely endangered,Kubi; Konda-Dora,,118597.0,18.2763,82.9385,,
156,Sierra Totonac,Mexico,MEX,tos,Severely endangered,"Highland Totonac, Totonaco central del sur",,118367.0,20.2461,-97.6586,,
157,Jaunsari,India,IND,jns,Definitely endangered,Jaunsauri; Jansauri,,114733.0,30.4859,78.0908,,
158,Dimasa,India,IND,dis,Vulnerable,,,112000.0,24.7368,92.9003,,
159,Ladakhi,"China, India","CHN, IND","cna, lbj, tkk",Vulnerable,Ladhakhi,,105000.0,34.0617,77.5909,,
160,Salar,China,CHN,slr,Vulnerable,,,104503.0,36.2752,102.4584,,
161,Simi,India,IND,nsm,Vulnerable,"Sumi, Sema",,104000.0,25.9777,94.5922,,
162,Phurhepecha,Mexico,MEX,tsz,Vulnerable,"Purépecha, Tarasco, Porhé",,102988.0,19.3111,-102.041,,
163,Crimean Tatar (Crimea),Ukraine,UKR,"crh, jct",Severely endangered,крымскотатарский (ru),,100000.0,45.3212,34.3212,,
164,Dagur (Nonni),China,CHN,dta,Definitely endangered,Daur; дагурский,,100000.0,47.9163,124.1235,,
165,Francoprovençal,"France, Italy, Switzerland","FRA, ITA, CHE",frp,Definitely endangered,Arpitan; Harpitan,,100000.0,45.7828,6.9982,,
166,Gallurese,Italy,ITA,sdn,Definitely endangered,Gallurese Sardinian,,100000.0,40.8802,9.4482,,
167,Mapuche (Argentina),Argentina,ARG,arn,Severely endangered,"Mapuche, Araucano, Maputongo, Mapudungu",,100000.0,-40.0791,-71.0156,,
168,Mehri,"Oman, Yemen","OMN, YEM",gdq,Definitely endangered,"Mahri, Mehriyet, Mehriyot, Mehriye",,100000.0,16.5993,52.8057,,
169,Ordos,China,CHN,"drh, khk, mvf",Definitely endangered,Urdus,,100000.0,39.1641,108.1054,,
170,Quechua of Northern Bolivia,Bolivia (Plurinational State of),BOL,qul,Vulnerable,,,100000.0,-15.3649,-69.0518,,
171,Suba,"Kenya, United Republic of Tanzania","KEN, TZA","sxb, ssc",Vulnerable,,,100000.0,-0.9942,34.519,,
172,Garífuna (Honduras),Honduras,HND,cab,Vulnerable,Black Carib,,98000.0,15.6754,-88.1476,,
173,Embera (Colombia),Colombia,COL,"emp, cmi, cto, sja, bdc, tdc, crf",Vulnerable,"Chocó, Epena, Sia-Pedee, Siapidara, Saija, Catío, Katío, Chamí, Baudó, Tadó, Caramanta (most are subgroups)",,95000.0,6.1624,-76.8383,Choco,Choco
174,Kabui,India,IND,nkf,Vulnerable,"Koboi, Kubai, Kuki-Kabui, Inpui",,95000.0,24.7218,93.6584,,
175,Shughni,"Tajikistan, Afghanistan","TJK, AFG",sgh,Vulnerable,"šughnī, šughnanī, шуғнони",,95000.0,37.4879,71.5374,,
176,Permyak,Russian Federation,RUS,koi,Definitely endangered,“Komi-Permyak” (calque from Russian); коми-пермяцкий,,94328.0,59.20399999999999,54.5361,,
177,Poqomchi',Guatemala,GTM,pob,Vulnerable,Tactic Poqomchí,,92941.0,15.3757,-90.4288,,
178,Yimchungru,India,IND,yim,Vulnerable,,,92000.0,25.9629,94.9713,,
179,Nogay (Caucasus),Russian Federation,RUS,nog,Definitely endangered,,,90020.0,43.8028,46.2744,,
180,Heiban,Sudan,SDN,hbn,Vulnerable,,,90000.0,10.8575,30.2371,,
181,Quichua (Cañar and Azuay),Ecuador,ECU,"qxr, qug, qvi, qvj, qvo, qvz, qxl",Severely endangered,"Kichwa, Runashimi, Runa simi (Quichua Cañar Highland, Ethnologue), Quechua",,90000.0,-2.6577,-78.8378,,
182,Mezquital Otomí,Mexico,MEX,ote,Definitely endangered,"hñähñú, ñänhü, ñandú, ñohño, ñanhmu",,88789.0,20.4831,-99.21700000000001,,
183,Burushaski,Pakistan,PAK,bsk,Vulnerable,"Brushaski, Burushaki, Burucaki, Burushki, Burucaski, Biltum, Khajuna, Kunjut",,87000.0,35.909,74.2153,,
184,Chokri,India,IND,nri,Vulnerable,,,84000.0,25.8691,94.7131,,
185,Sangtam,India,IND,nsa,Vulnerable,,,84000.0,26.6032,94.9603,,
186,Achi',Guatemala,GTM,acr,Vulnerable,,,82640.0,15.0845,-90.4888,,
187,Yem,Ethiopia,ETH,jnj,Vulnerable,"Yemsa, ""Janjero""",,81613.0,7.6347,37.3205,,
188,Mao,India,IND,nbi,Vulnerable,,,81000.0,25.5027,94.2681,,
189,Arbëresh,Italy,ITA,aae,Definitely endangered,Arbëreshë Albanian,arbrisht,80000.0,40.9321,14.8645,,
190,Lari,Iran (Islamic Republic of),IRN,"lrl, fay",Definitely endangered,"Larestani, Achomi",,80000.0,27.8585,54.8547,,
191,Páez,Colombia,COL,pbb,Definitely endangered,Nasa (people). Nasa Yuwe (language).,,80000.0,2.8237,-76.3117,,
192,Quechua of Santiago del Estero,Argentina,ARG,qus,Definitely endangered,Quichua. Cuzco.,,80000.0,-26.7848,-63.6767,,
193,Svan,Georgia,GEO,sva,Definitely endangered,,,80000.0,43.0207,42.3193,,
194,Tai Daeng,"Lao People's Democratic Republic, Viet Nam","LAO, VNM",tyr,Vulnerable,Red Thai,,80000.0,19.8833,104.6166,,
195,Taznatit,Algeria,DZA,grr,Severely endangered,"Tamazight du Gourara, Tamazight du Touat",,80000.0,29.3413,0.3955,,
196,Wakhi,"China, Pakistan, Tajikistan, Afghanistan","CHN, PAK, TJK, AFG",wbl,Definitely endangered,вахони,,75000.0,37.1603,74.9047,,
197,Bishnupriya Manipuri Creole,"Bangladesh, India","BGD, IND",bpy,Vulnerable,Bishnupuriya; Bisna Puriya; Bishnupria Manipuri,,72899.0,24.296999999999997,92.4499,,
198,Acheron,Sudan,SDN,acz,Severely endangered,Game,,70000.0,10.809000000000001,30.2453,,
