id,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers,Latitude,Longitude,Subgroup,Family
1856,Sakurabiat,Brazil,BRA,skf,Severely endangered,"Mekens, Mekém, Sakirabiat",,25.0,-12.967,-61.2652,,
1857,Upper Kuskokwim,United States of America,USA,kuu,Critically endangered,Kolchan,,25.0,63.0091,-154.3889,,
1858,Zumaya,Cameroon,CMR,zuy,Critically endangered,,,25.0,10.5323,14.3591,,
1859,Kashaya,United States of America,USA,kju,Critically endangered,Southwestern Pomo,,24.0,38.6603,-123.3045,,
1860,Kavalan,China,CHN,ckv,Critically endangered,"Kibalan, Kuwarawan, Shekwan",,24.0,24.7393,121.6996,,
1861,Wardaman,Australia,AUS,wrr,Severely endangered,"Wadaman, Waderman, Waduman, Warda'man, Warduman, Wartaman, Wardman, Wordaman.  Dialects: Close to Yangman and Dagoman, which are extinct.",,24.0,-14.9925,131.9293,,
1862,Washo,United States of America,USA,was,Severely endangered,,,24.0,38.9226,-119.7256,,
1863,Kuku Yalanji,Australia,AUS,gvn,Severely endangered,"Kuku-Yalanji, Guguyalanji, Koko-Yalanji, Kuku-Yalangi.  Dialects: Kuku-Nyungkul, Kuku-Biraji",,23.0,-15.8148,144.9316,,
1864,Sām,Nepal,NPL,raq,Severely endangered,साम; Saam,,23.0,27.3595,86.9979,,
1865,Alawa,Australia,AUS,alh,Critically endangered,,,22.0,-16.4676,134.0771,,
1866,Tobian,Palau,PLW,tox,Critically endangered,"Tobi, Hatobohei",,22.0,2.9594,131.8084,,
1867,Bara (Brazil),Brazil,BRA,"pok, bao",Vulnerable,"Waípinõmakã, Waimajã",,21.0,0.3515,-68.9721,,
1868,Ixcatec,Mexico,MEX,ixc,Critically endangered,xwja,,21.0,17.8493,-97.181,,
1869,Añu,Venezuela (Bolivarian Republic of),VEN,pbg,Critically endangered,Paraujano,,20.0,11.022,-71.7352,,
